iter	MultiClass
0	1.042222153
1	0.9876547176
2	0.9376546466
3	0.9128350706
4	0.8851049879
5	0.8573841094
6	0.8295374785
7	0.8025137679
8	0.7830552972
9	0.7643170036
10	0.7484282267
11	0.7214868945
12	0.7069853177
13	0.6940928665
14	0.6830761714
15	0.6673137426
16	0.6534138789
17	0.641492387
18	0.6265541635
19	0.6165720683
20	0.6069721083
21	0.5990847948
22	0.5928235888
23	0.580591875
24	0.5747208495
25	0.566440771
26	0.5601112611
27	0.5531819099
28	0.5490513011
29	0.5456417039
30	0.5406143945
31	0.5356870422
32	0.5311329785
33	0.5285778026
34	0.5238225973
35	0.5166523627
36	0.5112725382
37	0.5051097728
38	0.5026504348
39	0.498955024
40	0.49567537
41	0.4904929175
42	0.4848792776
43	0.4793068811
44	0.4713670598
45	0.4685871871
46	0.463391503
47	0.4604717052
48	0.4587473518
49	0.4561263375
50	0.452785827
51	0.4501279229
52	0.4481088114
53	0.4467047375
54	0.4434674223
55	0.4405987094
56	0.4352580791
57	0.4333280206
58	0.4308495246
59	0.4257044648
60	0.4228114599
61	0.4212868553
62	0.4192851013
63	0.4174987544
64	0.4142015615
65	0.4116975969
66	0.4099126945
67	0.4066428436
68	0.4055588029
69	0.4008282383
70	0.3996651883
71	0.3951270758
72	0.3928960992
73	0.3920123628
74	0.3910894765
75	0.3865840894
76	0.3844924312
77	0.3826410539
78	0.3808058941
79	0.3790843898
80	0.374779587
81	0.3724605521
82	0.369773012
83	0.3694576772
84	0.3663464141
85	0.3644944788
86	0.3630261454
87	0.3591489442
88	0.3565942978
89	0.3545769073
90	0.3531937687
91	0.3520352843
92	0.3503111196
93	0.3481790243
94	0.3466599631
95	0.3429104494
96	0.3421558224
97	0.3408086501
98	0.3385665189
99	0.3367408494
100	0.3349567891
101	0.3331489149
102	0.332027213
103	0.3300977647
104	0.3290896324
105	0.3276737385
106	0.3266263019
107	0.3259529507
108	0.3233458061
109	0.321128727
110	0.3201920733
111	0.3190596936
112	0.3174319237
113	0.3149947044
114	0.3141174431
115	0.313200978
116	0.3129387359
117	0.311562489
118	0.3105510365
119	0.3078329036
120	0.3073704593
121	0.3041547599
122	0.3034384213
123	0.3014126622
124	0.3004175683
125	0.299799285
126	0.2988256729
127	0.2971988638
128	0.2961128437
129	0.2948648847
130	0.2937157353
131	0.2918225439
132	0.2912447604
133	0.2902023671
134	0.2896335944
135	0.2893320818
136	0.2889225065
137	0.287654776
138	0.2867931216
139	0.2850702136
140	0.2842743322
141	0.2824258717
142	0.281566546
143	0.2798946016
144	0.2777420606
145	0.2761496468
146	0.2755445172
147	0.2747462392
148	0.2733129392
149	0.2723054376
150	0.2717801752
151	0.2710523493
152	0.2686191621
153	0.2679298857
154	0.2672730404
155	0.2665731826
156	0.265887225
157	0.2644536757
158	0.2631179447
159	0.2617322022
160	0.2604003474
161	0.2597810441
162	0.2579752992
163	0.2549773551
164	0.2544732585
165	0.2536404121
166	0.252284664
167	0.2512160774
168	0.2501157282
169	0.2495941645
170	0.2482019944
171	0.2459559675
172	0.2448793256
173	0.2440242295
174	0.2438676303
175	0.2428383157
176	0.2421652559
177	0.2415373562
178	0.2406131057
179	0.2389120373
180	0.2363844219
181	0.2352863894
182	0.2341005398
183	0.2334979106
184	0.2318958474
185	0.2306180865
186	0.2297568088
187	0.2295458083
188	0.2287178059
189	0.2280607347
190	0.227443814
191	0.2263405655
192	0.2257545612
193	0.2247583141
194	0.2241265559
195	0.2238626312
196	0.2233086081
197	0.2230370171
198	0.22278434
199	0.2227045949
200	0.2220777684
201	0.2212247328
202	0.2208591551
203	0.2206714182
204	0.2202892272
205	0.2192742542
206	0.2186345496
207	0.2180469612
208	0.2177111728
209	0.2174865652
210	0.216604783
211	0.2151137141
212	0.214891281
213	0.2142805087
214	0.2139668342
215	0.2130245539
216	0.2125987746
217	0.2119950652
218	0.2110240266
219	0.2108355446
220	0.2105373134
221	0.2100077256
222	0.2098440917
223	0.2090227687
224	0.2082985523
225	0.207508324
226	0.2071003479
227	0.2065704621
228	0.2062838563
229	0.2052225417
230	0.2037203561
231	0.2033192916
232	0.2028335706
233	0.2026313966
234	0.2022508901
235	0.2019480112
236	0.2011330049
237	0.200868499
238	0.2001129928
239	0.1996390856
240	0.1994489834
241	0.1984278096
242	0.1980012159
243	0.1977767312
244	0.197379024
245	0.1958575602
246	0.1948217058
247	0.1944568216
248	0.1943028978
249	0.1936775596
250	0.1927489775
251	0.1924720477
252	0.1919001958
253	0.1910952857
254	0.1909314738
255	0.1905464814
256	0.1900878335
257	0.1894804047
258	0.1883594615
259	0.188149822
260	0.1879064128
261	0.1871509349
262	0.1862510395
263	0.1859249761
264	0.1853276393
265	0.1849621995
266	0.1841958857
267	0.1836698597
268	0.1833243762
269	0.1823071578
270	0.1820031234
271	0.1815072554
272	0.1811661614
273	0.1809563906
274	0.1807754859
275	0.18055665
276	0.1800010993
277	0.1798153953
278	0.1792054914
279	0.1788011188
280	0.1783738776
281	0.1775838745
282	0.177163426
283	0.1766981594
284	0.1761614013
285	0.1758394401
286	0.1752901226
287	0.1743388981
288	0.174110375
289	0.1740081873
290	0.1737101341
291	0.173242632
292	0.172708772
293	0.1724672818
294	0.1720769303
295	0.171862846
296	0.1712799829
297	0.1702658603
298	0.1697282511
299	0.1694878493
300	0.1692928725
301	0.1688122796
302	0.1685448776
303	0.1684633268
304	0.1681449448
305	0.1671049297
306	0.1662657016
307	0.1660892726
308	0.165673089
309	0.1653410681
310	0.1652021689
311	0.1649313624
312	0.1646895107
313	0.1642622478
314	0.1640672083
315	0.1639290679
316	0.1638163354
317	0.1635176608
318	0.1630671665
319	0.16260453
320	0.162195759
321	0.1618479366
322	0.1615914687
323	0.1614895632
324	0.1612160347
325	0.1604367962
326	0.1591382498
327	0.158925341
328	0.158547919
329	0.1579878284
330	0.1572851909
331	0.1569521817
332	0.1567283596
333	0.1562060548
334	0.1558676409
335	0.155626817
336	0.1554057202
337	0.1550405874
338	0.1547723095
339	0.1541213076
340	0.1538379901
341	0.1536861911
342	0.1535723335
343	0.1528650912
344	0.1526234703
345	0.1523654257
346	0.1522141163
347	0.152116274
348	0.1520077997
349	0.1518485626
350	0.1514462512
351	0.1508491281
352	0.150585088
353	0.1503817648
354	0.1502683478
355	0.1498591112
356	0.1491558076
357	0.1483415791
358	0.1478849529
359	0.147329966
360	0.1470111286
361	0.1463590206
362	0.146019294
363	0.1458851597
364	0.1453750102
365	0.1451403728
366	0.1450457792
367	0.1449152095
368	0.1448422815
369	0.144625031
370	0.144452942
371	0.144347105
372	0.1442519608
373	0.1439712998
374	0.1438832675
375	0.1432438565
376	0.1431123641
377	0.1429710188
378	0.1426874789
379	0.1424648157
380	0.142372985
381	0.1415380535
382	0.1412203035
383	0.1408611176
384	0.1403817425
385	0.1400492433
386	0.1397702314
387	0.139304318
388	0.1391632775
389	0.1388197814
390	0.1383109626
391	0.138090186
392	0.1374757452
393	0.1371057849
394	0.1364479224
395	0.1362470413
396	0.1360780053
397	0.1356756103
398	0.1354939512
399	0.1350439204
400	0.134604965
401	0.1343712527
402	0.1342332368
403	0.1340766882
404	0.1334703641
405	0.1330693245
406	0.1329994687
407	0.1328264887
408	0.132518818
409	0.1324020634
410	0.1322467113
411	0.1317901411
412	0.1313141687
413	0.1309792698
414	0.1307168548
415	0.1304305934
416	0.1300577142
417	0.1298704113
418	0.1295611043
419	0.1293279708
420	0.129020331
421	0.1285528672
422	0.1284525843
423	0.1279986029
424	0.1275309418
425	0.1273674467
426	0.1269416385
427	0.1267276756
428	0.1262840093
429	0.1262281031
430	0.1260632725
431	0.1255406798
432	0.1249636691
433	0.1248372675
434	0.1246941652
435	0.1242461746
436	0.1239627466
437	0.1234479041
438	0.123179878
439	0.12297494
440	0.122849312
441	0.1227200685
442	0.1224981979
443	0.122164156
444	0.1218727137
445	0.1216633632
446	0.1214984652
447	0.1214312091
448	0.1212862025
449	0.1208469884
450	0.1205459964
451	0.1202754005
452	0.1201197264
453	0.1198537624
454	0.1196896487
455	0.1195656676
456	0.1194052021
457	0.1190452243
458	0.1189476251
459	0.1186146753
460	0.1182207866
461	0.1181347101
462	0.117921305
463	0.1178946952
464	0.1178257428
465	0.1175190066
466	0.1171186891
467	0.1169967522
468	0.1167978201
469	0.1165633492
470	0.1163093919
471	0.1160263219
472	0.1157570585
473	0.1156292561
474	0.1153337911
475	0.115018781
476	0.1149530657
477	0.1143884036
478	0.1141421932
479	0.1140848564
480	0.1139543471
481	0.1136034117
482	0.1135031515
483	0.1133352684
484	0.1132027679
485	0.1129567122
486	0.1127137724
487	0.1125717542
488	0.1124491909
489	0.112338433
490	0.1121230257
491	0.1120216006
492	0.1118843845
493	0.1116020048
494	0.1114718964
495	0.1113277804
496	0.1111614034
497	0.1107387017
498	0.1105441001
499	0.1102055684
